nome;vendedor;Avaliação;reviews;preco_antigo;preco_atual
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4;HP;4.8;356;3.232;2.754
Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 16gb 512gb Ssd Windows 11 15.3 - 83ns0001br Luna Grey;Lenovo;4.9;31;3.799;3.329
Compatível 6 Dc 12v On/off Switch In;;;;101.0;96.0
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza";Positivo;4.6;1232;2.641;1.756
Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg;Samsung;4.8;2254;4.099;3.704
Ventilador De Acampamento Usb Operado Por;;;;142.0;135.0
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey;Mobcom;4.9;627;5.879;4.899
Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto;123 Comprou;4.7;79;3.284;2.299
"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto";123 Comprou;4.6;213;3.212;2.024
Compatível Substituição Moldura Frontal Tampa Lcd Para;;;;56.0;53.0
"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11";Positivo;4.5;5385;1.649;1.299
Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook;Mobcom;4.9;114;6.657;4.699
Compatível Novo Para Thinkpad L13 Gen 3, Maiúsculas Para;;;;211.0;200.0
Capa Para Apoio De Mãos Compatível Com Precision 3570;;;;227.0;216.0
Ventilador De Resfriamento Compatível Para Computador;;;;40.0;38.0
Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza;Positivo;4.7;230;2.199;1.499
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4;HP;4.8;356;3.232;2.754
Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook;Mobcom;4.9;114;6.657;4.699
Capa Traseira Compatível Com Lcd Latitude 3440;;;;184.0;174.0
Cabo De Substituição Do Touchpad Trackpad Compatível Com;;;;129.0;122.0
Novo Alto-falante Integrado Compatível Para Ideapad Pro 5;;;;124.0;118.0
Licença De Botão Liga/desliga Para Laptop Compatível Com;;;;72.0;68.0
Compatível Novo Cabo Táctil Thinkpad X1 Carbon 7º 8º;;;;97.0;92.0
Compatível Altavoz Para Portátil Durável Reemplaza;;;;95.0;90.0
Teclado De Laptop De Substituição Compatível Com 86 Teclas;;;;42.0;40.0
= Caderno Grande De Couro Vintage A5, De Desenho, Criativo.;;;;;85.0
Compatível 5h40x89386 Para Ventiladores De Dissipador De;;;;368.0;349.0
Ventilador De Refrigeração De Substituição Compatível;;;;324.0;308.0
Compatível Tela Lcd Tampa Traseira Fhd24 Nova Para;;;;297.0;282.0
