nome;source
Apple Macbook air 13 M4 16gb Ram 256gb Ssd Meia-noite;https://lista.mercadolivre.com.br/notebooks
Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR;https://lista.mercadolivre.com.br/notebooks
Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w;https://lista.mercadolivre.com.br/notebooks
Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey;https://lista.mercadolivre.com.br/notebooks
"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837";https://lista.mercadolivre.com.br/notebooks
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite upgrade de memória RAM e SSD";https://lista.mercadolivre.com.br/notebooks
"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Linux 14"" 83AFS00500";https://lista.mercadolivre.com.br/notebooks
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261;https://lista.mercadolivre.com.br/notebooks
Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux;https://lista.mercadolivre.com.br/notebooks
Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD;https://lista.mercadolivre.com.br/notebooks
"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR";https://lista.mercadolivre.com.br/notebooks
Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg;https://lista.mercadolivre.com.br/notebooks
Notebook Vaio Fe15 - Intel Core I3 12th, 8gb 256gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Linux - Vjfe54f11x-b0921h - Cinza Grafite;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Windows 11 Home Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1737w;https://lista.mercadolivre.com.br/notebooks
Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11;https://lista.mercadolivre.com.br/notebooks
Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo T490 Core I5 8365u 1.6ghz Ssd 256gb 16gb 8ª Cor Preto;https://lista.mercadolivre.com.br/notebooks
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Windows 11 Home Tela 15,6 Led Fhd Blue - Nj1745w;https://lista.mercadolivre.com.br/notebooks
"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8 Bivolt";https://lista.mercadolivre.com.br/notebooks
Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza;https://lista.mercadolivre.com.br/notebooks
Notebook Acer Aspire 5 15.6 Fhd I5-12450h 256gb Ssd 8gb Cor Cinza;https://lista.mercadolivre.com.br/notebooks
Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4;https://lista.mercadolivre.com.br/notebooks
Notebook Dell Inspiron 5402 Core I5 11th 8gb 256gb Ssd Win10 - Excelente (Recondicionado);https://lista.mercadolivre.com.br/notebooks
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - - Permite upgrade de memória RAM e SSD";https://lista.mercadolivre.com.br/notebooks
Notebook Hp 250r G9 Intel Core I5 1335u 8gb 256gb Ssd 15.6 W11 Pro Ay6w3la;https://lista.mercadolivre.com.br/notebooks
Notebook ASUS Vivobook Go 15 E1504FA AMD Ryzen 3 7320U 4Gb Ram 128Gb SSD Windows 11 Home Tela 15,6 FHD Mixed Black - NJ1364W;https://lista.mercadolivre.com.br/notebooks
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4;https://lista.mercadolivre.com.br/notebooks
Notebook Samsung Book4 I5-1335u 8gb 256gb Ssd 15,6 Full Hd Windows 11 Pro Np754xgj-kg5br 110v/220v;https://lista.mercadolivre.com.br/notebooks
Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11;https://lista.mercadolivre.com.br/notebooks
Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050;https://lista.mercadolivre.com.br/notebooks
Notebook Samsung Galaxy Book3 360 Intel Core I5 1335U, 8GB, 256GB SSD Tela 13.3' Windows11H - NP730QFG-KF2BR;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1i I5 1235u 8gb 512gb Ssd Win11 Home;https://lista.mercadolivre.com.br/notebooks
Notebook Dell Latitude 7490 I7 8° 16gb Ssd 512gb Win 11;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Thinkpad T495 Ryzen 5 Pro Ram 8gb Ssd 256gb;https://lista.mercadolivre.com.br/notebooks
Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto;https://lista.mercadolivre.com.br/notebooks
"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600";https://lista.mercadolivre.com.br/notebooks
Notebook Gamer ASUS TUF Gaming A15, Ryzen 7, RTX 2050, 8GB RAM, 512GB SSD, Tela 15.6 IPS 144Hz, Linux KeepOS, Graphite Black - FA506NFR-HN069;https://lista.mercadolivre.com.br/notebooks
Notebook 2 Em 1 Dell Inspiron 2in1-i1300-m10c 14  Fhd+ Touch Prata Gelo;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Thinkpad T470 Core I5 6ta 240gb + 8gb Cor Preto - Excelente (Recondicionado);https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500;https://lista.mercadolivre.com.br/notebooks
Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza;https://lista.mercadolivre.com.br/notebooks
Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite;https://lista.mercadolivre.com.br/notebooks
Notebook Dell Inspiron I15-i120k-u25m 15.6  Full Hd 12ª Gera Preto;https://lista.mercadolivre.com.br/notebooks
